week,facebook_spend,google_spend,influencer_spend,tv_spend,promo_discount_percent,zomato_orders
2023-09-10,156.27,209.1,55.99,256.89,5,6104
2023-09-17,91.21,252.29,73.31,287.19,0,5915
2023-09-24,110.15,135.7,70.5,318.65,0,5843
2023-10-01,155.91,207.39,66.93,388.52,0,6060
2023-10-08,172.15,210.4,115.31,351.46,0,6181
2023-10-15,155.14,231.27,88.1,290.4,0,6097
2023-10-22,146.53,150.52,54.78,298.86,0,5835
2023-10-29,140.97,147.18,98.36,239.85,5,6000
2023-11-05,105.64,220.88,122.44,298.89,0,6155
2023-11-12,128.4,211.88,100.65,282.68,0,6034
2023-11-19,136.18,210.02,49.61,319.36,10,6304
2023-11-26,181.71,213.86,70.32,250.37,0,6003
2023-12-03,160.31,172.8,105.34,331.16,5,6290
2023-12-10,97.11,209.29,65.85,391.96,0,6179
2023-12-17,159.72,211.72,88.88,293.47,0,6026
2023-12-24,138.45,171.43,95.49,324.1,0,6069
2023-12-31,129.69,274.63,61.46,341.41,0,6268
2024-01-07,168.35,218.95,78.81,275.93,0,6159
2024-01-14,180.93,152.35,20.0,313.45,0,6014
2024-01-21,177.94,226.26,59.51,300.76,0,6177
2024-01-28,124.82,161.01,74.95,305.86,0,6065
2024-02-04,140.72,231.48,55.04,253.62,0,6107
2024-02-11,159.94,246.34,112.65,301.47,0,6422
2024-02-18,179.27,167.17,51.4,329.88,0,6170
2024-02-25,135.62,238.54,71.2,387.07,5,6481
2024-03-03,144.43,216.51,82.61,357.56,5,6413
2024-03-10,116.81,232.88,108.83,429.19,0,6420
2024-03-17,114.11,275.87,51.28,253.96,10,6412
2024-03-24,174.38,190.18,103.26,352.34,5,6498
2024-03-31,190.69,169.85,80.2,311.0,0,6220
2024-04-07,147.84,164.42,60.37,431.39,10,6530
2024-04-14,180.11,167.37,89.24,251.5,15,6643
2024-04-21,160.85,196.92,83.98,249.62,0,6213
2024-04-28,130.65,213.65,68.0,264.04,0,6115
2024-05-05,160.84,211.07,81.4,172.57,10,6394
2024-05-12,196.14,233.09,72.29,268.45,10,6493
2024-05-19,148.93,200.52,82.27,254.45,0,6028
2024-05-26,196.94,258.14,93.24,309.02,0,6335
2024-06-02,71.41,189.41,111.72,320.51,0,6023
2024-06-09,174.66,308.81,55.24,412.57,0,6443
2024-06-16,152.61,225.03,122.66,357.03,5,6473
2024-06-23,141.03,165.71,40.96,265.39,0,6005
2024-06-30,152.75,157.16,76.96,246.1,0,5983
2024-07-07,90.37,219.3,91.77,329.52,10,6345
2024-07-14,143.41,191.06,85.62,220.79,0,6020
2024-07-21,160.71,228.56,67.55,409.89,0,6138
2024-07-28,194.34,218.93,75.84,370.77,10,6504
2024-08-04,134.45,197.09,70.14,271.85,10,6260
2024-08-11,125.75,166.13,68.21,197.21,5,5852
2024-08-18,134.95,139.41,96.99,381.23,5,6225
2024-08-25,177.46,182.14,87.14,293.13,0,6066
2024-09-01,159.86,234.26,66.14,374.27,0,6142
2024-09-08,134.11,208.56,97.99,204.33,5,6097
2024-09-15,165.4,150.17,86.15,264.04,0,6039
2024-09-22,152.91,206.93,96.26,300.31,0,6083
2024-09-29,179.06,215.41,92.59,302.82,0,6136
2024-10-06,128.94,164.65,63.42,273.0,0,5836
2024-10-13,140.17,206.15,68.8,337.37,0,6001
2024-10-20,138.24,202.33,94.95,235.94,0,6016
2024-10-27,106.09,154.28,92.21,291.46,0,5863
2024-11-03,158.88,214.31,79.58,307.22,0,6096
2024-11-10,157.83,222.43,82.35,330.87,10,6374
2024-11-17,150.15,243.32,105.55,342.7,5,6398
2024-11-24,142.96,242.15,68.17,232.52,5,6174
2024-12-01,107.54,144.89,90.94,207.95,10,6137
2024-12-08,137.38,162.49,75.96,376.66,0,6067
2024-12-15,139.72,220.6,75.65,319.94,0,6131
2024-12-22,125.93,220.55,101.98,255.09,5,6192
